CHEM_COMP_ID,SMILES
01A,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)c1ccccc1
01K,c1ncc2ncn([C@@H]3CCCO3)c2n1
0ET,c1ncc2ncn([C@H]3CCCO3)c2n1
1C4,c1ncc2ncn([C@H]3CCCO3)c2n1
1CV,c1ncc2ncn([C@H]3CCCO3)c2n1
1CZ,c1ncc2ncn([C@H]3CCCO3)c2n1
1HA,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccc2ccccc2c1
1VU,c1ncc2ncn([C@H]3CCCO3)c2n1
1XE,c1coc(-n2cnc3cncnc32)c1
2CP,c1ncc2ncn([C@H]3CCCO3)c2n1
2NE,O=C(CCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccccc1
3CP,c1ncc2ncn([C@H]3CCCO3)c2n1
3H9,c1ncc2ncn([C@H]3CCCO3)c2n1
3HC,c1ncc2ncn([C@H]3CCCO3)c2n1
4CA,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCc1ccccc1
4CO,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)c1ccccc1
8JD,c1ncc2ncn([C@@H]3CCCO3)c2n1
8Z2,c1ncc2ncn([C@H]3CCCO3)c2n1
ACO,c1ncc2ncn([C@H]3CCCO3)c2n1
AMX,c1ncc2ncn([C@H]3CCCO3)c2n1
BCA,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccccc1
BCO,c1ncc2ncn([C@@H]3CCCO3)c2n1
BSJ,O=C(CCNC(=O)CCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)N=CCSCCC(=O)NC[C@@H]1CCC[C@@H](OC2CCCCC2)O1
BYC,O=C(CCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccccc1
CA3,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCCCCC(=O)NCCc1c[nH]c2ccccc12
CA5,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)NCCc1c[nH]c2ccccc12
CA6,c1ncc2ncn([C@H]3CCCO3)c2n1
CA8,O=C(CCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCCCS(=O)(=O)c1ccccc1
CAA,c1ncc2ncn([C@H]3CCCO3)c2n1
CAJ,c1ncc2ncn([C@H]3CCCO3)c2n1
CAO,c1ncc2ncn([C@H]3CCCO3)c2n1
CIC,c1ncc2ncn([C@H]3CCCO3)c2n1
CMC,c1ncc2ncn([C@H]3CCCO3)c2n1
CMX,c1ncc2ncn([C@H]3CCCO3)c2n1
CO6,c1ncc2ncn([C@H]3CCCO3)c2n1
CO8,c1ncc2ncn([C@H]3CCCO3)c2n1
COA,c1ncc2ncn([C@H]3CCCO3)c2n1
COD,c1ncc2ncn([C@H]3CCCO3)c2n1
COF,c1ncc2ncn([C@H]3CCCO3)c2n1
COO,c1ncc2ncn([C@@H]3CCCO3)c2n1
COT,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)NCCc1c[nH]c2ccccc12
COW,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccccc1
COZ,c1ncc2ncn([C@H]3CCCO3)c2n1
DCA,c1ncc2ncn([C@H]3CCCO3)c2n1
DCC,c1ncc2ncn([C@H]3CCCO3)c2n1
FAM,c1ncc2ncn([C@H]3CCCO3)c2n1
FCX,c1ncc2ncn([C@H]3CCCO3)c2n1
FRE,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)C=Cc1ccccc1
FYN,c1ncc2ncn([C@H]3CCCO3)c2n1
GRA,c1ncc2ncn([C@H]3CCCO3)c2n1
HAX,c1ncc2ncn([C@H]3CCCO3)c2n1
HMG,c1ncc2ncn([C@@H]3CCCO3)c2n1
HSC,c1ncc2ncn([C@H]3CCCO3)c2n1
HXC,c1ncc2ncn([C@H]3CCCO3)c2n1
MCA,c1ncc2ncn([C@H]3CCCO3)c2n1
MCD,c1ncc2ncn([C@H]3CCCO3)c2n1
MDE,c1ncc2[nH]c[n+]([C@H]3CCCO3)c2n1
MLC,c1ncc2ncn([C@H]3CCCO3)c2n1
MYA,c1ncc2ncn([C@H]3CCCO3)c2n1
NHM,c1ncc2ncn([C@@H]3CCCO3)c2n1
NHQ,c1ncc2ncn([C@@H]3CCCO3)c2n1
NHW,c1ncc2ncn([C@H]3CCCO3)c2n1
NMX,c1ncc2ncn([C@H]3CCCO3)c2n1
OXK,c1ncc2ncn([C@H]3CCCO3)c2n1
S0N,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCNC(=O)CCC(=O)c1ccccc1
SCA,c1ncc2ncn([C@H]3CCCO3)c2n1
SCD,c1ncc2ncn([C@H]3CCCO3)c2n1
SCO,c1ncc2ncn([C@H]3CCCO3)c2n1
SDX,c1ncc2ncn([C@@H]3CCCO3)c2n1
SOP,c1ncc2ncn([C@@H]3CCCO3)c2n1
T1G,c1ncc2ncn([C@H]3CCCO3)c2n1
TC6,c1ncc2ncn([C@H]3CCCO3)c2n1
WCA,O=C(CCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)C=Cc1ccccc1
